"filename", "language", "Swift", "CMake", "JSON", "C++", "HTML", "YAML", "Markdown", "XML", "Dart", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 5, 13, 83
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\app\google-services.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 11, 1, 45
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 4, 26
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 2, 5, 30
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\devtools_options.yaml", "YAML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\ios\RunnerTests\RunnerTests.swift", "Swift", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\ios\Runner\AppDelegate.swift", "Swift", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
